fips,fips_bg,county_name,countyid,region,econ_domain,env_health_domain,ed_domain,index,oppcat
06001400100,NA,Alameda,06001,Bay Area Region,0.8016032064128257,0.9278557114228457,0.7655310621242485,0.5570642718596017,Highest Resource
06001400200,NA,Alameda,06001,Bay Area Region,0.9659318637274549,0.627254509018036,0.8289913159652639,0.694853107969406,Highest Resource
06001400300,NA,Alameda,06001,Bay Area Region,0.9325317301269205,0.6192384769539078,0.3226452905811623,0.21548151835266452,High Resource
06001400400,NA,Alameda,06001,Bay Area Region,0.8790915163660654,0.6579826319305278,0.5504342017368069,0.37363479724227344,High Resource
06001400500,NA,Alameda,06001,Bay Area Region,0.7608550434201736,0.698062792251169,0.5925183700734803,0.33362327802855885,High Resource
06001400600,NA,Alameda,06001,Bay Area Region,0.8643954575818303,0.6179024716098864,0.3226452905811623,0.1445851995113281,Moderate Resource
06001400700,NA,Alameda,06001,Bay Area Region,0.5731462925851704,0.31730126920507684,0.06012024048096192,-0.36492045666036965,Low Resource
06001400800,NA,Alameda,06001,Bay Area Region,0.5297261189044756,0.12224448897795591,0.37074148296593185,-0.19302518290450268,Moderate Resource
06001400900,NA,Alameda,06001,Bay Area Region,0.5644622578490314,0.19438877755511022,0.11222444889779559,-0.35289646412474474,Low Resource
06001401000,NA,Alameda,06001,Bay Area Region,0.6279225116900468,0.03807615230460922,0.04876419505678023,-0.5624283432664058,Low Resource
06001401100,NA,Alameda,06001,Bay Area Region,0.8129592518370073,0.18637274549098196,0.0447561790247161,-0.2967225160870575,Low Resource
06001401200,NA,Alameda,06001,Bay Area Region,0.8583834335337341,0.39345357381429524,0.1790247160988644,-0.02887259583814223,Moderate Resource
06001401300,NA,Alameda,06001,Bay Area Region,0.46760187040748163,0.03473613894455578,0.22110888443553775,-0.4734879600789164,Low Resource
06001401400,NA,Alameda,06001,Bay Area Region,0.21643286573146292,0.020708082832331328,0.053440213760855046,NA,High Segregation & Poverty
06001401500,NA,Alameda,06001,Bay Area Region,0.37341349365397464,0.0447561790247161,0.10688042752171009,-0.621561012924577,Low Resource
06001401600,NA,Alameda,06001,Bay Area Region,0.3380093520374082,0.03006012024048096,0.22110888443553775,-0.5979156834273313,Low Resource
06001401700,NA,Alameda,06001,Bay Area Region,0.751503006012024,0.004008016032064128,0.14896459585838343,-0.7661375689417556,Low Resource
06001401800,NA,Alameda,06001,Bay Area Region,0.5237140948563794,0.07147628590514363,0.13226452905811623,-0.4542248742820063,Low Resource
06001402200,NA,Alameda,06001,Bay Area Region,0.43887775551102204,0.019372077488309953,0.13226452905811623,-0.6628861300291506,Low Resource
06001402400,NA,Alameda,06001,Bay Area Region,0.47160988643954577,0.10153640614562458,0.26586506346025385,-0.33620818662205304,Low Resource
06001402500,NA,Alameda,06001,Bay Area Region,0.05410821643286573,0.05410821643286573,0.13226452905811623,NA,High Segregation & Poverty
06001402600,NA,Alameda,06001,Bay Area Region,0.15497661990647962,0.07481629926519706,0.41148964595858384,NA,High Segregation & Poverty
06001402700,NA,Alameda,06001,Bay Area Region,0.4228456913827655,0.08617234468937876,0.2545090180360721,-0.39160002238283853,Low Resource
06001402800,NA,Alameda,06001,Bay Area Region,0.3627254509018036,0.0788243152972612,0.4201736806947228,-0.30572073486662,Low Resource
06001402900,NA,Alameda,06001,Bay Area Region,0.40080160320641284,0.11489645958583834,0.3193052772211089,-0.3267271886314143,Low Resource
06001403000,NA,Alameda,06001,Bay Area Region,0.22244488977955912,0.07748830995323981,0.36072144288577157,NA,High Segregation & Poverty
06001403100,NA,Alameda,06001,Bay Area Region,0.5177020708082832,0.08016032064128256,0.3346693386773547,-0.2646342022916397,Low Resource
06001403300,NA,Alameda,06001,Bay Area Region,0.5404141616566466,0.07615230460921844,0.2665330661322645,-0.321567220939152,Low Resource
06001403400,NA,Alameda,06001,Bay Area Region,0.8891115564462257,0.1736806947227789,0.3513694054776219,0.0678206535126435,Moderate Resource
06001403501,NA,Alameda,06001,Bay Area Region,0.4622578490313961,0.12491649966599866,0.42150968603874417,-0.18329456255523852,Moderate Resource
06001403502,NA,Alameda,06001,Bay Area Region,0.48430193720774883,0.2952571810287241,0.5711422845691383,0.05233205255868871,Moderate Resource
06001403600,NA,Alameda,06001,Bay Area Region,0.6259185036740147,0.3353373413493654,0.5784903139612558,0.15219650820395772,Moderate Resource
06001403701,NA,Alameda,06001,Bay Area Region,0.7661990647962592,0.4956579826319305,0.5217100868403474,0.22048391041241303,High Resource
06001403702,NA,Alameda,06001,Bay Area Region,0.8490313961255845,0.3667334669338677,0.4014696058784235,0.14489728658016332,Moderate Resource
06001403800,NA,Alameda,06001,Bay Area Region,0.8984635938543755,0.642618570474282,0.8162992651970608,0.604057397294341,Highest Resource
